Resultados evento -> MAG2.4_2020-06-04T03
ONDA P LTA Promedio

lta_prom_X:529.000000
lta_prom_Y:206.000000
lta_prom_Z:186.000000
STA/LTA N:0.434783,Z:0.757282,E:0.913978
STA/LTA N:0.395085,Z:0.650485,E:0.768817
STA/LTA N:0.351607,Z:0.315534,E:0.478495
STA/LTA N:0.374291,Z:0.233010,E:0.446237
STA/LTA N:0.344045,Z:0.233010,E:0.290323
STA/LTA N:0.270321,Z:0.475728,E:0.397849
STA/LTA N:0.253308,Z:0.533981,E:0.698925
STA/LTA N:0.266541,Z:0.461165,E:0.532258
STA/LTA N:0.351607,Z:0.466019,E:0.408602
STA/LTA N:0.395085,Z:0.349515,E:0.317204
STA/LTA N:0.448015,Z:0.262136,E:0.532258
STA/LTA N:0.497164,Z:0.373786,E:0.715054
STA/LTA N:0.459357,Z:0.378641,E:0.537634
STA/LTA N:0.342155,Z:0.310680,E:0.510753
STA/LTA N:0.315690,Z:0.291262,E:0.559140
STA/LTA N:0.359168,Z:0.645631,E:0.446237
STA/LTA N:0.455577,Z:0.713592,E:0.516129
STA/LTA N:0.465028,Z:0.504854,E:0.569892
STA/LTA N:0.516068,Z:0.422330,E:0.338710
STA/LTA N:0.516068,Z:0.485437,E:0.150538
STA/LTA N:0.536862,Z:0.432039,E:0.188172
STA/LTA N:0.514178,Z:0.228155,E:0.220430
STA/LTA N:0.415879,Z:0.475728,E:0.419355
STA/LTA N:0.410208,Z:0.548544,E:0.344086
STA/LTA N:0.442344,Z:0.344660,E:0.467742
STA/LTA N:0.495274,Z:0.106796,E:0.247312
STA/LTA N:0.457467,Z:0.213592,E:0.274194
STA/LTA N:0.546314,Z:0.368932,E:0.376344
STA/LTA N:0.542533,Z:0.475728,E:0.462366
STA/LTA N:0.448015,Z:0.601942,E:0.553763
STA/LTA N:0.468809,Z:0.655340,E:0.516129
STA/LTA N:0.529301,Z:0.611650,E:0.424731
STA/LTA N:0.519849,Z:0.461165,E:0.403226
STA/LTA N:0.661626,Z:0.432039,E:0.306452
STA/LTA N:0.680529,Z:0.514563,E:0.215054
STA/LTA N:0.597353,Z:0.548544,E:0.403226
STA/LTA N:0.568998,Z:0.446602,E:0.467742
STA/LTA N:0.616257,Z:0.237864,E:0.602151
STA/LTA N:0.580340,Z:0.208738,E:0.569892
STA/LTA N:0.546314,Z:0.199029,E:0.688172
STA/LTA N:0.542533,Z:0.334951,E:0.693548
STA/LTA N:0.497164,Z:1.087379,E:0.784946
STA/LTA N:0.548204,Z:1.048544,E:0.709677
STA/LTA N:0.570888,Z:0.820388,E:0.483871
STA/LTA N:0.654064,Z:0.868932,E:0.327957
STA/LTA N:0.706994,Z:0.951456,E:0.231183
STA/LTA N:0.820416,Z:0.684466,E:0.413978
STA/LTA N:0.886578,Z:0.733010,E:0.736559
STA/LTA N:0.752363,Z:0.679612,E:0.962366
STA/LTA N:0.686200,Z:0.495146,E:1.075269
