Resultados evento -> MAG2.8_2020-06-23T17
ONDA P LTA Promedio

lta_prom_X:678.000000
lta_prom_Y:353.000000
lta_prom_Z:357.000000
STA/LTA N:0.343658,Z:0.490085,E:0.733894
STA/LTA N:0.317109,Z:0.334278,E:0.778711
STA/LTA N:0.266962,Z:0.325779,E:0.736695
STA/LTA N:0.277286,Z:0.396601,E:0.593838
STA/LTA N:0.252212,Z:0.393768,E:0.577031
STA/LTA N:0.188791,Z:0.385269,E:0.294118
STA/LTA N:0.162242,Z:0.320113,E:0.145658
STA/LTA N:0.119469,Z:0.090652,E:0.145658
STA/LTA N:0.131268,Z:0.155807,E:0.168067
STA/LTA N:0.115044,Z:0.342776,E:0.322129
STA/LTA N:0.117994,Z:0.583569,E:0.330532
STA/LTA N:0.200590,Z:0.569405,E:0.142857
STA/LTA N:0.358407,Z:0.586402,E:0.084034
STA/LTA N:0.412979,Z:0.665722,E:0.134454
STA/LTA N:0.458702,Z:0.838527,E:0.112045
STA/LTA N:0.541298,Z:0.898017,E:0.221289
STA/LTA N:0.672566,Z:0.878187,E:0.140056
STA/LTA N:0.794985,Z:0.954674,E:0.131653
STA/LTA N:0.845133,Z:1.062323,E:0.240896
STA/LTA N:0.843658,Z:1.087819,E:0.375350
STA/LTA N:0.914454,Z:1.016997,E:0.336134
STA/LTA N:0.997050,Z:0.883853,E:0.294118
STA/LTA N:1.119469,Z:0.759207,E:0.386555
STA/LTA N:1.172566,Z:0.784703,E:0.467787
STA/LTA N:1.203540,Z:0.770538,E:0.512605
STA/LTA N:1.228614,Z:0.696884,E:0.532213
STA/LTA N:1.193215,Z:0.677054,E:0.512605
STA/LTA N:1.146018,Z:0.526912,E:0.464986
STA/LTA N:1.035398,Z:0.461756,E:0.347339
STA/LTA N:0.861357,Z:0.266289,E:0.408964
STA/LTA N:0.755162,Z:0.082153,E:0.585434
STA/LTA N:0.709440,Z:0.161473,E:0.756303
STA/LTA N:0.672566,Z:0.169972,E:0.871148
STA/LTA N:0.550147,Z:0.169972,E:0.997199
STA/LTA N:0.359882,Z:0.076487,E:0.764706
STA/LTA N:0.169617,Z:0.110482,E:0.686275
STA/LTA N:0.067847,Z:0.300283,E:0.602241
STA/LTA N:0.064897,Z:0.410765,E:0.638655
STA/LTA N:0.169617,Z:0.419263,E:0.697479
STA/LTA N:0.271386,Z:0.195467,E:0.714286
STA/LTA N:0.303835,Z:0.161473,E:0.717087
STA/LTA N:0.318584,Z:0.172805,E:0.666667
STA/LTA N:0.328909,Z:0.164306,E:0.736695
STA/LTA N:0.303835,Z:0.082153,E:0.605042
STA/LTA N:0.227139,Z:0.147309,E:0.408964
STA/LTA N:0.084071,Z:0.147309,E:0.773109
STA/LTA N:0.058997,Z:0.260623,E:0.924370
STA/LTA N:0.339233,Z:0.373938,E:0.753501
STA/LTA N:0.337758,Z:1.359773,E:0.901961
STA/LTA N:0.535398,Z:1.331445,E:0.705882
