Resultados evento -> MAG2.1_2020-05-18T06
ONDA P LTA Promedio

lta_prom_X:642.000000
lta_prom_Y:164.000000
lta_prom_Z:412.000000
STA/LTA N:0.514019,Z:0.829268,E:0.631068
STA/LTA N:0.500000,Z:0.646341,E:0.555825
STA/LTA N:0.487539,Z:0.396341,E:0.461165
STA/LTA N:0.462617,Z:0.164634,E:0.473301
STA/LTA N:0.306854,Z:0.121951,E:0.492718
STA/LTA N:0.305296,Z:0.231707,E:0.521845
STA/LTA N:0.400312,Z:0.231707,E:0.601942
STA/LTA N:0.507788,Z:0.237805,E:0.614078
STA/LTA N:0.524922,Z:0.274390,E:0.648058
STA/LTA N:0.464174,Z:0.396341,E:0.541262
STA/LTA N:0.367601,Z:0.250000,E:0.410194
STA/LTA N:0.362928,Z:0.384146,E:0.279126
STA/LTA N:0.471963,Z:0.646341,E:0.213592
STA/LTA N:0.518692,Z:0.926829,E:0.305825
STA/LTA N:0.542056,Z:0.957317,E:0.560680
STA/LTA N:0.501558,Z:1.067073,E:0.623786
STA/LTA N:0.521807,Z:0.926829,E:0.662621
STA/LTA N:0.593458,Z:0.542683,E:0.643204
STA/LTA N:0.590343,Z:0.420732,E:0.529126
STA/LTA N:0.521807,Z:0.292683,E:0.466019
STA/LTA N:0.540498,Z:0.152439,E:0.485437
STA/LTA N:0.487539,Z:0.225610,E:0.485437
STA/LTA N:0.428349,Z:0.292683,E:0.487864
STA/LTA N:0.401869,Z:0.170732,E:0.592233
STA/LTA N:0.476636,Z:0.237805,E:0.558252
STA/LTA N:0.510903,Z:0.298780,E:0.519417
STA/LTA N:0.493769,Z:0.317073,E:0.524272
STA/LTA N:0.520249,Z:0.329268,E:0.682039
STA/LTA N:0.570093,Z:0.628049,E:0.609223
STA/LTA N:0.626168,Z:0.932927,E:0.461165
STA/LTA N:0.498442,Z:1.048780,E:0.308252
STA/LTA N:0.378505,Z:0.926829,E:0.254854
STA/LTA N:0.422118,Z:0.756098,E:0.422330
STA/LTA N:0.554517,Z:0.347561,E:0.531553
STA/LTA N:0.629283,Z:0.134146,E:0.628641
STA/LTA N:0.630841,Z:0.243902,E:0.575243
STA/LTA N:0.618380,Z:0.298780,E:0.490291
STA/LTA N:0.546729,Z:0.542683,E:0.536408
STA/LTA N:0.562305,Z:0.542683,E:0.645631
STA/LTA N:0.529595,Z:0.481707,E:0.599515
STA/LTA N:0.462617,Z:0.268293,E:0.507282
STA/LTA N:0.433022,Z:0.213415,E:0.441748
STA/LTA N:0.532710,Z:0.329268,E:0.398058
STA/LTA N:0.604361,Z:0.420732,E:0.439320
STA/LTA N:0.609034,Z:0.310976,E:0.558252
STA/LTA N:0.537383,Z:0.365854,E:0.599515
STA/LTA N:0.487539,Z:0.786585,E:0.424757
STA/LTA N:0.453271,Z:1.170732,E:0.398058
STA/LTA N:0.495327,Z:1.286585,E:0.385922
STA/LTA N:0.545171,Z:0.975610,E:0.373786
