Resultados evento -> MAG2.2_2020-05-31T12
ONDA P LTA Promedio

lta_prom_X:351.000000
lta_prom_Y:143.000000
lta_prom_Z:500.000000
STA/LTA N:0.370370,Z:0.454545,E:0.524000
STA/LTA N:0.304843,Z:0.643357,E:0.550000
STA/LTA N:0.216524,Z:0.489510,E:0.510000
STA/LTA N:0.256410,Z:0.552448,E:0.462000
STA/LTA N:0.267806,Z:0.307692,E:0.410000
STA/LTA N:0.695157,Z:0.335664,E:0.522000
STA/LTA N:0.774929,Z:0.160839,E:0.584000
STA/LTA N:0.603989,Z:0.181818,E:0.594000
STA/LTA N:0.470085,Z:0.804196,E:0.564000
STA/LTA N:0.424501,Z:0.762238,E:0.478000
STA/LTA N:0.410256,Z:0.496503,E:0.466000
STA/LTA N:0.279202,Z:0.293706,E:0.388000
STA/LTA N:0.222222,Z:0.258741,E:0.398000
STA/LTA N:0.384615,Z:0.265734,E:0.526000
STA/LTA N:0.427350,Z:0.139860,E:0.570000
STA/LTA N:0.367521,Z:0.174825,E:0.614000
STA/LTA N:0.333333,Z:0.286713,E:0.572000
STA/LTA N:0.304843,Z:0.531469,E:0.444000
STA/LTA N:0.430199,Z:0.797203,E:0.418000
STA/LTA N:0.575499,Z:0.769231,E:0.424000
STA/LTA N:0.609687,Z:0.727273,E:0.428000
STA/LTA N:0.800570,Z:0.489510,E:0.530000
STA/LTA N:0.754986,Z:0.475524,E:0.530000
STA/LTA N:0.532764,Z:0.244755,E:0.518000
STA/LTA N:0.296296,Z:0.293706,E:0.496000
STA/LTA N:0.230769,Z:0.272727,E:0.464000
STA/LTA N:0.225071,Z:0.244755,E:0.418000
STA/LTA N:0.381766,Z:0.237762,E:0.452000
STA/LTA N:0.424501,Z:0.293706,E:0.572000
STA/LTA N:0.509972,Z:0.482517,E:0.630000
STA/LTA N:0.638177,Z:0.713287,E:0.574000
STA/LTA N:0.544160,Z:0.566434,E:0.430000
STA/LTA N:0.552707,Z:0.293706,E:0.364000
STA/LTA N:0.652422,Z:0.230769,E:0.362000
STA/LTA N:0.683761,Z:0.440559,E:0.364000
STA/LTA N:0.433048,Z:0.566434,E:0.480000
STA/LTA N:0.438746,Z:0.650350,E:0.598000
STA/LTA N:0.572650,Z:0.566434,E:0.636000
STA/LTA N:0.623932,Z:0.342657,E:0.604000
STA/LTA N:0.555556,Z:0.153846,E:0.554000
STA/LTA N:0.518519,Z:0.139860,E:0.590000
STA/LTA N:0.418803,Z:0.363636,E:0.446000
STA/LTA N:0.518519,Z:0.594406,E:0.396000
STA/LTA N:0.601140,Z:0.622378,E:0.412000
STA/LTA N:0.757835,Z:0.447552,E:0.482000
STA/LTA N:0.806268,Z:0.496503,E:0.596000
STA/LTA N:0.829060,Z:0.293706,E:0.540000
STA/LTA N:0.675214,Z:1.083916,E:0.616000
STA/LTA N:0.578348,Z:1.853147,E:0.528000
STA/LTA N:0.410256,Z:1.538462,E:0.500000
