Resultados evento -> MAG2.0_2020-05-14T10
ONDA P LTA Promedio

lta_prom_X:425.000000
lta_prom_Y:234.000000
lta_prom_Z:1183.000000
STA/LTA N:0.790588,Z:0.487179,E:0.478445
STA/LTA N:0.745882,Z:0.209402,E:0.486052
STA/LTA N:0.727059,Z:0.106838,E:0.508030
STA/LTA N:0.762353,Z:0.123932,E:0.527473
STA/LTA N:0.823529,Z:0.119658,E:0.542688
STA/LTA N:0.858824,Z:0.508547,E:0.557904
STA/LTA N:0.938824,Z:0.747863,E:0.530854
STA/LTA N:0.922353,Z:0.940171,E:0.501268
STA/LTA N:0.910588,Z:0.841880,E:0.475063
STA/LTA N:0.781176,Z:0.649573,E:0.452240
STA/LTA N:0.644706,Z:0.568376,E:0.482671
STA/LTA N:0.600000,Z:0.405983,E:0.522401
STA/LTA N:0.597647,Z:0.444444,E:0.558749
STA/LTA N:0.548235,Z:0.448718,E:0.530008
STA/LTA N:0.623529,Z:0.457265,E:0.500423
STA/LTA N:0.663529,Z:0.619658,E:0.502113
STA/LTA N:0.729412,Z:0.529915,E:0.472527
STA/LTA N:0.724706,Z:0.324786,E:0.496196
STA/LTA N:0.644706,Z:0.166667,E:0.522401
STA/LTA N:0.600000,Z:0.153846,E:0.525782
STA/LTA N:0.654118,Z:0.226496,E:0.501268
STA/LTA N:0.762353,Z:0.444444,E:0.470837
STA/LTA N:0.778824,Z:0.670940,E:0.482671
STA/LTA N:0.785882,Z:0.769231,E:0.481826
STA/LTA N:0.755294,Z:0.730769,E:0.499577
STA/LTA N:0.477647,Z:0.790598,E:0.513948
STA/LTA N:0.343529,Z:0.722222,E:0.532544
STA/LTA N:0.329412,Z:0.465812,E:0.517329
STA/LTA N:0.287059,Z:0.350427,E:0.505495
STA/LTA N:0.277647,Z:0.286325,E:0.475063
STA/LTA N:0.223529,Z:0.294872,E:0.471682
STA/LTA N:0.376471,Z:0.316239,E:0.490279
STA/LTA N:0.402353,Z:0.311966,E:0.507185
STA/LTA N:0.322353,Z:0.388889,E:0.518174
STA/LTA N:0.164706,Z:0.418803,E:0.501268
STA/LTA N:0.094118,Z:0.367521,E:0.434489
STA/LTA N:0.155294,Z:0.555556,E:0.436179
STA/LTA N:0.223529,Z:0.700855,E:0.459848
STA/LTA N:0.275294,Z:0.641026,E:0.491124
STA/LTA N:0.124706,Z:0.581197,E:0.535080
STA/LTA N:0.091765,Z:0.491453,E:0.561285
STA/LTA N:0.254118,Z:0.423077,E:0.556213
STA/LTA N:0.345882,Z:0.529915,E:0.497041
STA/LTA N:0.338824,Z:0.564103,E:0.439560
STA/LTA N:0.240000,Z:0.504274,E:0.448014
STA/LTA N:0.230588,Z:1.521368,E:0.468301
STA/LTA N:0.294118,Z:1.196581,E:0.492815
STA/LTA N:0.334118,Z:0.282051,E:0.486898
STA/LTA N:0.360000,Z:0.354701,E:0.453085
STA/LTA N:0.357647,Z:0.388889,E:0.484362
