Resultados evento -> MAG3.4_2020-05-18T02
ONDA P LTA Promedio

lta_prom_X:931.000000
lta_prom_Y:887.000000
lta_prom_Z:789.000000
STA/LTA X:0.381310,Y:0.045096,Z:0.259823
STA/LTA X:0.359828,Y:0.081172,Z:0.250951
STA/LTA X:0.334049,Y:0.148816,Z:0.235741
STA/LTA X:0.314715,Y:0.210823,Z:0.306717
STA/LTA X:0.335124,Y:0.202931,Z:0.338403
STA/LTA X:0.317938,Y:0.205186,Z:0.307985
STA/LTA X:0.319012,Y:0.172492,Z:0.225602
STA/LTA X:0.270677,Y:0.153326,Z:0.174905
STA/LTA X:0.269603,Y:0.121759,Z:0.131812
STA/LTA X:0.266380,Y:0.127396,Z:0.158428
STA/LTA X:0.262084,Y:0.119504,Z:0.238276
STA/LTA X:0.228786,Y:0.101466,Z:0.315589
STA/LTA X:0.248120,Y:0.101466,Z:0.320659
STA/LTA X:0.340494,Y:0.102593,Z:0.275032
STA/LTA X:0.401719,Y:0.087937,Z:0.220532
STA/LTA X:0.437164,Y:0.090192,Z:0.264892
STA/LTA X:0.415682,Y:0.085682,Z:0.306717
STA/LTA X:0.399570,Y:0.074408,Z:0.297845
STA/LTA X:0.303974,Y:0.114994,Z:0.220532
STA/LTA X:0.303974,Y:0.076663,Z:0.216730
STA/LTA X:0.356606,Y:0.089064,Z:0.256020
STA/LTA X:0.403867,Y:0.145434,Z:0.219265
STA/LTA X:0.363050,Y:0.257046,Z:0.283904
STA/LTA X:0.266380,Y:0.257046,Z:0.339670
STA/LTA X:0.270677,Y:0.186020,Z:0.292776
STA/LTA X:0.258861,Y:0.108230,Z:0.206591
STA/LTA X:0.278195,Y:0.126268,Z:0.187579
STA/LTA X:0.229860,Y:0.119504,Z:0.264892
STA/LTA X:0.276047,Y:0.128523,Z:0.295311
STA/LTA X:0.267454,Y:0.125141,Z:0.365019
STA/LTA X:0.232009,Y:0.144307,Z:0.376426
STA/LTA X:0.216971,Y:0.095829,Z:0.339670
STA/LTA X:0.222342,Y:0.091319,Z:0.368821
STA/LTA X:0.314715,Y:0.068771,Z:0.323194
STA/LTA X:0.346939,Y:0.073281,Z:0.291508
STA/LTA X:0.303974,Y:0.087937,Z:0.353612
STA/LTA X:0.233083,Y:0.117249,Z:0.325729
STA/LTA X:0.184748,Y:0.126268,Z:0.321926
STA/LTA X:0.194415,Y:0.166855,Z:0.372624
STA/LTA X:0.181525,Y:0.177001,Z:0.392902
STA/LTA X:0.131042,Y:0.177001,Z:0.358682
STA/LTA X:0.167562,Y:0.191657,Z:0.411914
STA/LTA X:0.232009,Y:0.136415,Z:0.378961
STA/LTA X:0.197637,Y:0.133033,Z:0.306717
STA/LTA X:2.164339,Y:8.113867,Z:0.373891
STA/LTA X:1.825994,Y:4.130778,Z:0.363752
STA/LTA X:2.074114,Y:2.339346,Z:3.487959
STA/LTA X:1.998926,Y:2.514092,Z:3.693283
STA/LTA X:2.212675,Y:1.348365,Z:2.855513
STA/LTA X:0.891515,Y:1.142052,Z:2.574144
