Resultados evento -> MAG2.2_2020-06-06T00
ONDA P LTA Promedio

lta_prom_X:1894.000000
lta_prom_Y:281.000000
lta_prom_Z:1095.000000
STA/LTA N:0.410771,Z:0.587189,E:0.422831
STA/LTA N:0.442978,Z:0.558719,E:0.494064
STA/LTA N:0.465681,Z:0.377224,E:0.556164
STA/LTA N:0.458817,Z:0.416370,E:0.543379
STA/LTA N:0.465681,Z:0.637011,E:0.494977
STA/LTA N:0.465681,Z:0.565836,E:0.447489
STA/LTA N:0.463041,Z:0.491103,E:0.424658
STA/LTA N:0.502112,Z:0.512456,E:0.458447
STA/LTA N:0.512144,Z:0.398577,E:0.433790
STA/LTA N:0.511616,Z:0.455516,E:0.412785
STA/LTA N:0.524287,Z:0.380783,E:0.425571
STA/LTA N:0.496832,Z:0.405694,E:0.497717
STA/LTA N:0.459345,Z:0.512456,E:0.510502
STA/LTA N:0.458817,Z:0.491103,E:0.557078
STA/LTA N:0.486272,Z:0.537367,E:0.536073
STA/LTA N:0.492080,Z:0.576512,E:0.557991
STA/LTA N:0.483105,Z:0.580071,E:0.571689
STA/LTA N:0.482049,Z:0.544484,E:0.548858
STA/LTA N:0.473073,Z:0.455516,E:0.534247
STA/LTA N:0.494720,Z:0.444840,E:0.536986
STA/LTA N:0.495248,Z:0.444840,E:0.598174
STA/LTA N:0.553326,Z:0.295374,E:0.555251
STA/LTA N:0.574446,Z:0.430605,E:0.589954
STA/LTA N:0.585005,Z:0.491103,E:0.602740
STA/LTA N:0.561246,Z:0.508897,E:0.574429
STA/LTA N:0.560718,Z:0.455516,E:0.523288
STA/LTA N:0.556494,Z:0.487544,E:0.549772
STA/LTA N:0.541711,Z:0.362989,E:0.556164
STA/LTA N:0.544351,Z:0.487544,E:0.544292
STA/LTA N:0.560718,Z:0.508897,E:0.559817
STA/LTA N:0.532735,Z:0.508897,E:0.561644
STA/LTA N:0.514784,Z:0.686833,E:0.540639
STA/LTA N:0.513200,Z:0.576512,E:0.511416
STA/LTA N:0.540655,Z:0.476868,E:0.483105
STA/LTA N:0.537487,Z:0.373665,E:0.513242
STA/LTA N:0.532207,Z:0.384342,E:0.484018
STA/LTA N:0.532207,Z:0.409253,E:0.483105
STA/LTA N:0.523759,Z:0.473310,E:0.437443
STA/LTA N:0.507920,Z:0.391459,E:0.442009
STA/LTA N:0.507920,Z:0.441281,E:0.471233
STA/LTA N:0.508976,Z:0.540925,E:0.484932
STA/LTA N:0.518479,Z:0.548043,E:0.479452
STA/LTA N:0.504224,Z:0.320285,E:0.436530
STA/LTA N:0.492608,Z:0.615658,E:0.516895
STA/LTA N:0.468849,Z:0.843416,E:0.442922
STA/LTA N:0.458817,Z:0.697509,E:0.394521
STA/LTA N:0.453010,Z:0.637011,E:0.358904
STA/LTA N:0.436114,Z:0.718861,E:0.433790
STA/LTA N:0.392291,Z:0.544484,E:0.452968
STA/LTA N:0.403379,Z:0.519573,E:0.455708
