Resultados evento -> MAG3.0_2020-05-23T03
ONDA P LTA Promedio

lta_prom_X:993.000000
lta_prom_Y:464.000000
lta_prom_Z:698.000000
STA/LTA N:0.438066,Z:0.247845,E:0.355301
STA/LTA N:0.437059,Z:0.258621,E:0.309456
STA/LTA N:0.450151,Z:0.312500,E:0.330946
STA/LTA N:0.461229,Z:0.316810,E:0.428367
STA/LTA N:0.481370,Z:0.297414,E:0.537249
STA/LTA N:0.469285,Z:0.273707,E:0.573066
STA/LTA N:0.473313,Z:0.286638,E:0.518625
STA/LTA N:0.471299,Z:0.221983,E:0.474212
STA/LTA N:0.471299,Z:0.170259,E:0.385387
STA/LTA N:0.469285,Z:0.191810,E:0.352436
STA/LTA N:0.385700,Z:0.351293,E:0.366762
STA/LTA N:0.382679,Z:0.409483,E:0.435530
STA/LTA N:0.414904,Z:0.428879,E:0.477077
STA/LTA N:0.455186,Z:0.422414,E:0.495702
STA/LTA N:0.490433,Z:0.346983,E:0.488539
STA/LTA N:0.512588,Z:0.267241,E:0.488539
STA/LTA N:0.493454,Z:0.202586,E:0.465616
STA/LTA N:0.443102,Z:0.165948,E:0.462751
STA/LTA N:0.411883,Z:0.224138,E:0.425501
STA/LTA N:0.396777,Z:0.331897,E:0.414040
STA/LTA N:0.389728,Z:0.387931,E:0.432665
STA/LTA N:0.425982,Z:0.355603,E:0.465616
STA/LTA N:0.436052,Z:0.325431,E:0.481375
STA/LTA N:0.462236,Z:0.342672,E:0.475645
STA/LTA N:0.463243,Z:0.306034,E:0.521490
STA/LTA N:0.471299,Z:0.245690,E:0.484241
STA/LTA N:0.473313,Z:0.204741,E:0.424069
STA/LTA N:0.449144,Z:0.221983,E:0.409742
STA/LTA N:0.405841,Z:0.318966,E:0.438395
STA/LTA N:0.371601,Z:0.398707,E:0.471347
STA/LTA N:0.340383,Z:0.375000,E:0.511461
STA/LTA N:0.388721,Z:0.353448,E:0.482808
STA/LTA N:0.473313,Z:0.346983,E:0.472779
STA/LTA N:0.490433,Z:0.301724,E:0.442693
STA/LTA N:0.456193,Z:0.221983,E:0.429799
STA/LTA N:0.447130,Z:0.209052,E:0.458453
STA/LTA N:0.397784,Z:0.282328,E:0.502865
STA/LTA N:0.403827,Z:0.336207,E:0.474212
STA/LTA N:0.408862,Z:0.288793,E:0.459885
STA/LTA N:0.413897,Z:0.286638,E:0.489971
STA/LTA N:0.406848,Z:0.267241,E:0.475645
STA/LTA N:0.391742,Z:0.269397,E:0.458453
STA/LTA N:0.380665,Z:0.278017,E:0.419771
STA/LTA N:1.153072,Z:0.293103,E:0.452722
STA/LTA N:0.970796,Z:0.342672,E:0.442693
STA/LTA N:0.842900,Z:0.375000,E:0.424069
STA/LTA N:0.691843,Z:2.209052,E:0.482808
STA/LTA N:0.852971,Z:3.834052,E:0.588825
STA/LTA N:0.815710,Z:2.368534,E:1.653295
STA/LTA N:0.827795,Z:1.937500,E:0.961318
