Resultados evento -> MAG2.0_2020-06-27T19
ONDA P LTA Promedio

lta_prom_X:378.000000
lta_prom_Y:158.000000
lta_prom_Z:500.000000
STA/LTA N:0.412698,Z:0.588608,E:0.638000
STA/LTA N:0.492063,Z:0.544304,E:0.612000
STA/LTA N:0.468254,Z:0.721519,E:0.632000
STA/LTA N:0.513228,Z:0.949367,E:0.700000
STA/LTA N:0.507937,Z:0.569620,E:0.802000
STA/LTA N:0.439153,Z:0.493671,E:0.820000
STA/LTA N:0.388889,Z:0.322785,E:0.786000
STA/LTA N:0.415344,Z:0.208861,E:0.866000
STA/LTA N:0.449735,Z:0.164557,E:0.918000
STA/LTA N:0.380952,Z:0.303797,E:0.678000
STA/LTA N:0.534392,Z:0.582278,E:0.500000
STA/LTA N:0.423280,Z:0.670886,E:0.516000
STA/LTA N:0.420635,Z:0.702532,E:0.552000
STA/LTA N:0.537037,Z:0.506329,E:0.662000
STA/LTA N:0.460317,Z:0.221519,E:0.614000
STA/LTA N:0.423280,Z:0.107595,E:0.578000
STA/LTA N:0.492063,Z:0.335443,E:0.598000
STA/LTA N:0.582011,Z:0.639241,E:0.540000
STA/LTA N:0.436508,Z:0.493671,E:0.544000
STA/LTA N:0.460317,Z:0.525316,E:0.624000
STA/LTA N:0.592593,Z:0.620253,E:0.694000
STA/LTA N:0.605820,Z:0.594937,E:0.696000
STA/LTA N:0.685185,Z:0.424051,E:0.580000
STA/LTA N:0.648148,Z:0.392405,E:0.574000
STA/LTA N:0.523810,Z:0.373418,E:0.484000
STA/LTA N:0.373016,Z:0.322785,E:0.330000
STA/LTA N:0.283069,Z:0.208861,E:0.244000
STA/LTA N:0.444444,Z:0.316456,E:0.270000
STA/LTA N:0.544974,Z:0.424051,E:0.430000
STA/LTA N:0.656085,Z:0.556962,E:0.524000
STA/LTA N:0.608466,Z:0.594937,E:0.504000
STA/LTA N:0.542328,Z:0.550633,E:0.480000
STA/LTA N:0.439153,Z:0.398734,E:0.452000
STA/LTA N:0.386243,Z:0.525316,E:0.428000
STA/LTA N:0.386243,Z:0.626582,E:0.350000
STA/LTA N:0.523810,Z:0.322785,E:0.374000
STA/LTA N:0.653439,Z:0.183544,E:0.362000
STA/LTA N:0.671958,Z:0.227848,E:0.410000
STA/LTA N:0.634921,Z:0.930380,E:0.378000
STA/LTA N:0.521164,Z:1.069620,E:0.346000
STA/LTA N:0.611111,Z:0.740506,E:0.222000
STA/LTA N:0.634921,Z:0.518987,E:0.248000
STA/LTA N:0.470899,Z:0.272152,E:0.398000
STA/LTA N:0.291005,Z:0.506329,E:0.448000
STA/LTA N:0.309524,Z:0.512658,E:0.382000
STA/LTA N:0.529101,Z:0.348101,E:0.306000
STA/LTA N:0.687831,Z:0.291139,E:0.334000
STA/LTA N:0.671958,Z:0.430380,E:0.330000
STA/LTA N:0.494709,Z:0.911392,E:0.216000
STA/LTA N:0.365079,Z:0.810127,E:0.188000
