Resultados evento -> MAG2.9_2020-06-20T16
ONDA P LTA Promedio

lta_prom_X:1135.000000
lta_prom_Y:453.000000
lta_prom_Z:886.000000
STA/LTA N:0.450220,Z:0.143488,E:0.417607
STA/LTA N:0.411454,Z:0.116998,E:0.522573
STA/LTA N:0.468722,Z:0.123620,E:0.514673
STA/LTA N:0.464317,Z:0.075055,E:0.537246
STA/LTA N:0.486344,Z:0.070640,E:0.493228
STA/LTA N:0.513656,Z:0.185430,E:0.485327
STA/LTA N:0.496916,Z:0.253863,E:0.486456
STA/LTA N:0.502203,Z:0.251656,E:0.442438
STA/LTA N:0.439648,Z:0.220751,E:0.494357
STA/LTA N:0.414978,Z:0.209713,E:0.452596
STA/LTA N:0.426432,Z:0.211921,E:0.451467
STA/LTA N:0.467841,Z:0.075055,E:0.560948
STA/LTA N:0.534802,Z:0.055188,E:0.549661
STA/LTA N:0.523348,Z:0.134658,E:0.519187
STA/LTA N:0.492511,Z:0.209713,E:0.534989
STA/LTA N:0.451982,Z:0.165563,E:0.551919
STA/LTA N:0.453744,Z:0.066225,E:0.514673
STA/LTA N:0.469604,Z:0.050773,E:0.423251
STA/LTA N:0.463436,Z:0.070640,E:0.437923
STA/LTA N:0.489868,Z:0.116998,E:0.414221
STA/LTA N:0.481938,Z:0.172185,E:0.496614
STA/LTA N:0.500441,Z:0.227373,E:0.461625
STA/LTA N:0.503965,Z:0.227373,E:0.396163
STA/LTA N:0.488987,Z:0.158940,E:0.404063
STA/LTA N:0.476652,Z:0.059603,E:0.439052
STA/LTA N:0.459031,Z:0.064018,E:0.411964
STA/LTA N:0.474890,Z:0.064018,E:0.380361
STA/LTA N:0.506608,Z:0.072848,E:0.395034
STA/LTA N:0.516300,Z:0.110375,E:0.439052
STA/LTA N:0.520705,Z:0.156733,E:0.494357
STA/LTA N:0.487225,Z:0.178808,E:0.481941
STA/LTA N:0.495154,Z:0.156733,E:0.503386
STA/LTA N:0.470485,Z:0.132450,E:0.481941
STA/LTA N:0.466079,Z:0.070640,E:0.410835
STA/LTA N:0.489868,Z:0.077263,E:0.352144
STA/LTA N:0.504846,Z:0.094923,E:0.442438
STA/LTA N:0.521586,Z:0.205298,E:0.449210
STA/LTA N:0.547137,Z:0.355408,E:0.369074
STA/LTA N:0.499559,Z:0.337748,E:0.320542
STA/LTA N:0.463436,Z:0.185430,E:0.374718
STA/LTA N:0.410573,Z:0.158940,E:0.426637
STA/LTA N:0.402643,Z:0.163355,E:0.480813
STA/LTA N:0.460793,Z:0.750552,E:0.554176
STA/LTA N:0.553304,Z:5.150110,E:0.462754
STA/LTA N:0.563877,Z:3.646799,E:0.343115
STA/LTA N:0.496035,Z:1.543046,E:0.358916
STA/LTA N:0.472247,Z:1.415011,E:1.059819
STA/LTA N:0.546256,Z:1.331126,E:1.598194
STA/LTA N:0.995595,Z:1.432671,E:1.086907
STA/LTA N:0.607048,Z:1.251656,E:0.827314
