Resultados evento -> MAG2.2_2020-06-24T04
ONDA P LTA Promedio

lta_prom_X:398.000000
lta_prom_Y:184.000000
lta_prom_Z:834.000000
STA/LTA N:0.389447,Z:0.157609,E:0.458034
STA/LTA N:0.502513,Z:0.336957,E:0.465228
STA/LTA N:0.555276,Z:0.554348,E:0.436451
STA/LTA N:0.517588,Z:0.489130,E:0.419664
STA/LTA N:0.266332,Z:0.402174,E:0.462830
STA/LTA N:0.090452,Z:0.538043,E:0.528777
STA/LTA N:0.057789,Z:0.603261,E:0.549161
STA/LTA N:0.087940,Z:0.445652,E:0.509592
STA/LTA N:0.113065,Z:0.309783,E:0.438849
STA/LTA N:0.195980,Z:0.407609,E:0.434053
STA/LTA N:0.319095,Z:0.413043,E:0.434053
STA/LTA N:0.278894,Z:0.467391,E:0.492806
STA/LTA N:0.168342,Z:0.500000,E:0.540767
STA/LTA N:0.035176,Z:0.597826,E:0.537170
STA/LTA N:0.060302,Z:0.668478,E:0.505995
STA/LTA N:0.256281,Z:0.505435,E:0.472422
STA/LTA N:0.432161,Z:0.146739,E:0.438849
STA/LTA N:0.354271,Z:0.114130,E:0.448441
STA/LTA N:0.226131,Z:0.385870,E:0.470024
STA/LTA N:0.128141,Z:0.592391,E:0.502398
STA/LTA N:0.150754,Z:0.630435,E:0.523981
STA/LTA N:0.133166,Z:0.500000,E:0.497602
STA/LTA N:0.243719,Z:0.385870,E:0.489209
STA/LTA N:0.253769,Z:0.206522,E:0.486811
STA/LTA N:0.321608,Z:0.347826,E:0.544365
STA/LTA N:0.381910,Z:0.461957,E:0.555156
STA/LTA N:0.462312,Z:0.288043,E:0.486811
STA/LTA N:0.459799,Z:0.271739,E:0.425659
STA/LTA N:0.449749,Z:0.603261,E:0.471223
STA/LTA N:0.464824,Z:0.690217,E:0.543165
STA/LTA N:0.560302,Z:0.418478,E:0.537170
STA/LTA N:0.668342,Z:0.211957,E:0.564748
STA/LTA N:0.809045,Z:0.114130,E:0.527578
STA/LTA N:0.819095,Z:0.114130,E:0.488010
STA/LTA N:0.688442,Z:0.260870,E:0.461631
STA/LTA N:0.630653,Z:0.701087,E:0.507194
STA/LTA N:0.600503,Z:0.804348,E:0.553957
STA/LTA N:0.771357,Z:0.750000,E:0.535971
STA/LTA N:0.854271,Z:0.663043,E:0.505995
STA/LTA N:0.756281,Z:0.326087,E:0.496403
STA/LTA N:0.721106,Z:0.239130,E:0.585132
STA/LTA N:0.668342,Z:0.201087,E:0.591127
STA/LTA N:0.723618,Z:2.505435,E:0.556355
STA/LTA N:0.917085,Z:0.994565,E:0.490408
STA/LTA N:1.027638,Z:0.842391,E:0.462830
STA/LTA N:1.072864,Z:0.630435,E:0.483213
STA/LTA N:1.158291,Z:0.793478,E:0.519185
STA/LTA N:1.133166,Z:0.760870,E:0.492806
STA/LTA N:1.077889,Z:0.809783,E:0.534772
STA/LTA N:0.874372,Z:0.489130,E:0.543165
