Resultados evento -> MAG2.6_2020-06-23T09
ONDA P LTA Promedio

lta_prom_X:396.000000
lta_prom_Y:228.000000
lta_prom_Z:715.000000
STA/LTA N:0.396465,Z:0.087719,E:0.475524
STA/LTA N:0.411616,Z:0.100877,E:0.500699
STA/LTA N:0.371212,Z:0.100877,E:0.489510
STA/LTA N:0.260101,Z:0.162281,E:0.448951
STA/LTA N:0.267677,Z:0.451754,E:0.444755
STA/LTA N:0.318182,Z:0.521930,E:0.454545
STA/LTA N:0.368687,Z:0.311404,E:0.489510
STA/LTA N:0.343434,Z:0.263158,E:0.495105
STA/LTA N:0.363636,Z:0.184211,E:0.476923
STA/LTA N:0.454545,Z:0.092105,E:0.383217
STA/LTA N:0.416667,Z:0.171053,E:0.369231
STA/LTA N:0.424242,Z:0.214912,E:0.446154
STA/LTA N:0.358586,Z:0.276316,E:0.500699
STA/LTA N:0.381313,Z:0.184211,E:0.527273
STA/LTA N:0.434343,Z:0.412281,E:0.532867
STA/LTA N:0.345960,Z:0.399123,E:0.461538
STA/LTA N:0.338384,Z:0.149123,E:0.462937
STA/LTA N:0.310606,Z:0.118421,E:0.539860
STA/LTA N:0.386364,Z:0.214912,E:0.627972
STA/LTA N:0.467172,Z:0.276316,E:0.586014
STA/LTA N:0.575758,Z:0.328947,E:0.467133
STA/LTA N:0.654040,Z:0.153509,E:0.439161
STA/LTA N:0.457071,Z:0.232456,E:0.419580
STA/LTA N:0.330808,Z:0.254386,E:0.481119
STA/LTA N:0.426768,Z:0.223684,E:0.611189
STA/LTA N:0.583333,Z:0.355263,E:0.577622
STA/LTA N:0.474747,Z:0.399123,E:0.516084
STA/LTA N:0.441919,Z:0.219298,E:0.432168
STA/LTA N:0.436869,Z:0.184211,E:0.397203
STA/LTA N:0.532828,Z:0.219298,E:0.400000
STA/LTA N:0.517677,Z:0.175439,E:0.502098
STA/LTA N:0.553030,Z:0.184211,E:0.572028
STA/LTA N:0.585859,Z:0.276316,E:0.618182
STA/LTA N:0.542929,Z:0.232456,E:0.681119
STA/LTA N:0.527778,Z:0.228070,E:0.586014
STA/LTA N:0.553030,Z:0.157895,E:0.467133
STA/LTA N:0.558081,Z:0.105263,E:0.402797
STA/LTA N:0.560606,Z:0.245614,E:0.383217
STA/LTA N:0.515152,Z:0.342105,E:0.486713
STA/LTA N:0.628788,Z:4.039474,E:0.593007
STA/LTA N:0.636364,Z:2.587719,E:0.590210
STA/LTA N:0.674242,Z:2.131579,E:0.532867
STA/LTA N:0.585859,Z:1.149123,E:0.474126
STA/LTA N:0.568182,Z:0.833333,E:0.441958
STA/LTA N:0.626263,Z:0.763158,E:0.535664
STA/LTA N:1.047980,Z:0.745614,E:0.840559
STA/LTA N:0.835859,Z:0.811404,E:0.612587
STA/LTA N:1.184343,Z:0.837719,E:0.479720
STA/LTA N:0.782828,Z:1.052632,E:0.413986
STA/LTA N:0.926768,Z:0.456140,E:0.433566
