Resultados evento -> MAG3.6_2020-06-08T23
ONDA P LTA Promedio

lta_prom_X:1372.000000
lta_prom_Y:888.000000
lta_prom_Z:899.000000
STA/LTA X:0.291545,Y:0.128378,Z:0.245829
STA/LTA X:0.326531,Y:0.101351,Z:0.246941
STA/LTA X:0.331633,Y:0.145270,Z:0.275862
STA/LTA X:0.352041,Y:0.190315,Z:0.222469
STA/LTA X:0.381195,Y:0.184685,Z:0.111235
STA/LTA X:0.375364,Y:0.157658,Z:0.091212
STA/LTA X:0.362974,Y:0.159910,Z:0.130145
STA/LTA X:0.364431,Y:0.161036,Z:0.200222
STA/LTA X:0.378280,Y:0.256757,Z:0.251390
STA/LTA X:0.406706,Y:0.172297,Z:0.312570
STA/LTA X:0.400146,Y:0.145270,Z:0.304783
STA/LTA X:0.413994,Y:0.138514,Z:0.325918
STA/LTA X:0.408892,Y:0.250000,Z:0.313682
STA/LTA X:0.427114,Y:0.154279,Z:0.344828
STA/LTA X:0.410350,Y:0.125000,Z:0.374861
STA/LTA X:0.383382,Y:0.119369,Z:0.352614
STA/LTA X:0.378280,Y:0.092342,Z:0.280311
STA/LTA X:0.392857,Y:0.087838,Z:0.260289
STA/LTA X:0.427843,Y:0.093468,Z:0.243604
STA/LTA X:0.421283,Y:0.111486,Z:0.236930
STA/LTA X:0.400146,Y:0.132883,Z:0.282536
STA/LTA X:0.388484,Y:0.147523,Z:0.338154
STA/LTA X:0.349854,Y:0.182432,Z:0.279199
STA/LTA X:0.349125,Y:0.175676,Z:0.281424
STA/LTA X:0.374636,Y:0.188063,Z:0.284761
STA/LTA X:0.387755,Y:0.199324,Z:0.324805
STA/LTA X:0.379738,Y:0.140766,Z:0.318131
STA/LTA X:0.359329,Y:0.104730,Z:0.361513
STA/LTA X:0.334548,Y:0.179054,Z:0.399333
STA/LTA X:0.342566,Y:0.134009,Z:0.420467
STA/LTA X:0.364431,Y:0.122748,Z:0.424917
STA/LTA X:0.365160,Y:0.137387,Z:0.404894
STA/LTA X:0.352041,Y:0.146396,Z:0.372636
STA/LTA X:0.354227,Y:0.138514,Z:0.334816
STA/LTA X:0.330175,Y:0.094595,Z:0.344828
STA/LTA X:0.319971,Y:0.068694,Z:0.342603
STA/LTA X:0.309767,Y:0.108108,Z:0.385984
STA/LTA X:0.314140,Y:0.139640,Z:0.420467
STA/LTA X:0.327988,Y:0.149775,Z:0.398220
STA/LTA X:0.349854,Y:0.155405,Z:0.369299
STA/LTA X:0.352770,Y:0.157658,Z:0.305895
STA/LTA X:0.343294,Y:0.157658,Z:0.307008
STA/LTA X:1.095481,Y:0.150901,Z:0.313682
STA/LTA X:1.275510,Y:0.096847,Z:0.384872
STA/LTA X:1.095481,Y:0.147523,Z:0.374861
STA/LTA X:1.745627,Y:9.484234,Z:0.351502
STA/LTA X:0.755102,Y:3.242117,Z:1.197998
STA/LTA X:1.010204,Y:2.450450,Z:3.975528
STA/LTA X:0.785714,Y:1.539414,Z:2.453838
STA/LTA X:0.833090,Y:1.325450,Z:2.525028
